Accident_ID,Location,Date,Severity,Weather,Vehicle_Type,Injuries,Fatalities,Cause,Road_Type,Vehicle_Speed,Alcohol_Involved,Road_Condition,Time
1,Location_1,2022-01-01,High,Snow,Motorcycle,7,2,Road conditions,Rural road,21,True,Icy,1970-01-01 14:00:00
2,Location_2,2022-01-02,Low,Clear,Truck,8,1,Road conditions,City street,29,False,Dry,1970-01-01 08:00:00
3,Location_3,2022-01-03,High,Snow,Truck,1,1,Weather conditions,Highway,21,False,Icy,1970-01-01 08:00:00
4,Location_4,2022-01-04,High,Clear,Car,8,2,Weather conditions,City street,79,False,Dry,1970-01-01 06:00:00
5,Location_5,2022-01-05,Low,Snow,Truck,4,1,Road conditions,Rural road,64,False,Icy,1970-01-01 01:00:00
6,Location_6,2022-01-06,Low,Snow,Truck,7,0,Weather conditions,Rural road,27,False,Dry,1970-01-01 06:00:00
7,Location_7,2022-01-07,High,Clear,Motorcycle,6,2,Human error,Highway,77,False,Wet,1970-01-01 08:00:00
8,Location_8,2022-01-08,Medium,Snow,Truck,6,1,Weather conditions,City street,26,True,Dry,1970-01-01 17:00:00
9,Location_9,2022-01-09,High,Rain,Motorcycle,3,1,Human error,Highway,91,False,Wet,1970-01-01 22:00:00
10,Location_10,2022-01-10,High,Clear,Truck,1,1,Road conditions,Highway,40,True,Icy,1970-01-01 11:00:00
11,Location_11,2022-01-11,High,Rain,Truck,4,2,Weather conditions,Rural road,66,True,Wet,1970-01-01 06:00:00
12,Location_12,2022-01-12,High,Clear,Truck,2,0,Road conditions,City street,20,True,Wet,1970-01-01 18:00:00
13,Location_13,2022-01-13,Low,Snow,Car,8,0,Weather conditions,Highway,31,True,Wet,1970-01-01 21:00:00
14,Location_14,2022-01-14,High,Snow,Motorcycle,5,2,Human error,Rural road,94,True,Icy,1970-01-01 23:00:00
15,Location_15,2022-01-15,Medium,Snow,Car,0,1,Weather conditions,Highway,67,False,Dry,1970-01-01 15:00:00
16,Location_16,2022-01-16,Low,Clear,Truck,2,2,Road conditions,City street,23,False,Wet,1970-01-01 07:00:00
17,Location_17,2022-01-17,Medium,Rain,Car,3,2,Human error,Highway,53,True,Icy,1970-01-01 18:00:00
18,Location_18,2022-01-18,Medium,Rain,Motorcycle,8,1,Weather conditions,City street,51,False,Wet,1970-01-01 05:00:00
19,Location_19,2022-01-19,Medium,Clear,Truck,5,2,Road conditions,Rural road,22,True,Dry,1970-01-01 01:00:00
20,Location_20,2022-01-20,Medium,Clear,Car,3,0,Road conditions,Rural road,87,False,Wet,1970-01-01 01:00:00
21,Location_21,2022-01-21,Low,Rain,Car,0,2,Weather conditions,Highway,76,True,Wet,1970-01-01 07:00:00
22,Location_22,2022-01-22,Low,Rain,Motorcycle,7,1,Road conditions,Rural road,95,True,Wet,1970-01-01 09:00:00
23,Location_23,2022-01-23,Medium,Rain,Car,1,2,Human error,Highway,43,True,Dry,1970-01-01 20:00:00
24,Location_24,2022-01-24,Medium,Rain,Motorcycle,7,0,Weather conditions,Highway,52,False,Dry,1970-01-01 20:00:00
25,Location_25,2022-01-25,Low,Clear,Truck,5,2,Human error,City street,22,False,Icy,1970-01-01 10:00:00
26,Location_26,2022-01-26,Low,Clear,Truck,7,2,Road conditions,Highway,23,True,Wet,1970-01-01 19:00:00
27,Location_27,2022-01-27,Low,Snow,Car,5,2,Road conditions,City street,49,True,Wet,1970-01-01 19:00:00
